region,planning_year,reserve_margin
p24,2039,0.138
p24,2040,0.138
p24,2041,0.138
p24,2042,0.138
p24,2043,0.138
p24,2044,0.138
p24,2045,0.138
p24,2046,0.138
p24,2047,0.138
p24,2048,0.138
p24,2049,0.138
p24,2050,0.138
p25,2025,0.163
p25,2026,0.158
p25,2027,0.159
p25,2028,0.154
p25,2029,0.147
p25,2030,0.145
p25,2031,0.143
p25,2032,0.142
p25,2033,0.144
p25,2034,0.138
p25,2035,0.138
p25,2036,0.138
p25,2037,0.138
p25,2038,0.138
p25,2039,0.138
p25,2040,0.138
p25,2041,0.138
p25,2042,0.138
p25,2043,0.138
p25,2044,0.138
p25,2045,0.138
p25,2046,0.138
p25,2047,0.138
p25,2048,0.138
p25,2049,0.138
p25,2050,0.138
p26,2025,0.163
p26,2026,0.158
p26,2027,0.159
p26,2028,0.154
p26,2029,0.147
p26,2030,0.145
p26,2031,0.143
p26,2032,0.142
p26,2033,0.144
p26,2034,0.138
p26,2035,0.138
p26,2036,0.138
p26,2037,0.138
