p99,p133,p128,p131
399,81,130,114
232,126,154,143
142,164,196,135
63,181,251,121
62,275,401,157
20,308,534,311
0,338,500,425
0,456,445,108
0,325,435,94
0,606,589,234
0,649,224,363
0,641,342,342
0,502,323,242
0,334,279,250
30,267,219,292
51,230,168,288
51,187,110,241
63,160,207,199
90,142,227,128
120,164,197,108
132,116,140,73
160,98,108,34
217,79,62,22
349,37,53,8
380,6,50,0
470,0,26,0
517,0,0,0
557,0,0,0
705,0,0,0
979,0,0,0
983,0,0,0
983,0,0,0
983,0,0,0
983,42,33,19
983,78,83,5
983,136,134,57
983,189,204,125
983,433,382,209
983,886,744,365
983,983,983,707
983,983,983,983
983,983,983,983
0,983,983,983
983,983,983,983
0,983,983,983
983,983,983,983
983,983,983,983
0,983,983,983
983,0,983,983
877,983,983,983
983,0,983,983
983,0,0,0
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
973,586,983,983
884,983,778,983
946,983,983,983
645,983,983,983
308,983,983,983
224,983,983,983
318,310,298,983
268,98,80,551
541,67,87,200
442,230,231,142
538,201,196,111
545,171,93,71
457,156,67,82
492,0,0,150
612,2,32,130
424,21,66,159
460,138,147,435
807,171,519,738
803,242,592,983
889,246,657,983
983,136,792,968
983,354,599,983
983,321,604,983
983,164,673,983
983,245,240,983
983,943,983,900
983,436,824,983
983,571,792,983
983,983,950,290
983,983,983,983
983,983,983,983
967,983,983,983
983,983,983,983
312,523,981,983
862,363,497,903
969,714,362,983
946,774,941,983
585,501,715,983
588,819,853,983
619,826,851,983
640,850,983,979
675,931,983,980
412,983,983,983
274,983,983,983
556,983,983,983
981,983,983,983
833,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
732,951,983,983
345,492,983,983
293,512,666,983
427,897,953,983
533,936,771,983
814,983,983,983
981,983,983,983
759,983,983,983
745,983,983,983
983,983,983,983
815,983,983,983
973,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
970,983,983,983
740,983,983,983
640,983,983,983
521,983,983,983
647,983,983,983
345,983,983,983
263,983,983,983
115,983,983,983
52,983,983,983
24,946,983,983
0,722,983,983
0,591,983,983
0,340,590,983
0,270,438,983
3,184,338,892
4,201,348,740
66,141,294,534
74,125,153,196
78,218,125,157
120,189,234,166
196,127,190,217
357,130,134,202
73,150,182,250
0,196,205,222
0,216,230,188
361,144,296,255
794,93,261,266
932,51,178,237
973,229,170,239
983,213,306,379
983,329,353,410
983,499,597,376
983,647,800,521
983,983,983,697
983,983,961,912
983,872,983,838
956,948,685,627
821,983,739,668
706,983,983,632
639,738,983,543
543,723,983,611
448,983,983,821
327,983,983,808
306,971,983,895
256,941,983,983
331,983,983,983
225,951,983,983
96,983,983,983
80,983,983,983
156,983,983,983
222,983,983,983
222,983,983,983
361,983,983,983
412,983,983,983
395,983,983,983
627,983,983,957
471,734,983,983
515,918,959,844
491,819,618,785
355,651,693,558
405,668,602,661
414,592,441,386
418,443,289,276
485,342,245,137
519,295,194,76
502,102,91,53
364,74,64,0
315,7,0,0
270,0,0,0
230,0,0,0
211,40,0,6
201,50,35,52
183,60,52,63
171,125,101,70
168,241,137,133
175,246,170,170
145,185,140,154
176,224,156,137
152,253,201,180
99,217,183,227
71,233,212,228
74,242,231,283
73,264,256,265
76,353,269,304
68,332,325,284
107,383,351,269
87,485,423,382
79,567,639,603
89,452,803,905
82,851,732,778
125,983,983,983
178,983,983,983
203,983,983,983
315,983,983,983
489,983,983,983
684,983,983,983
947,983,983,983
975,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
973,983,983,983
832,983,983,983
806,983,983,983
810,983,983,983
871,983,983,983
333,733,983,983
417,449,983,983
527,541,836,789
983,831,744,98
983,446,610,270
868,380,414,167
981,289,380,331
983,230,403,177
982,291,348,173
983,422,658,191
980,319,546,327
983,428,983,388
983,948,983,567
983,983,983,983
741,983,983,983
973,983,983,983
980,983,983,983
818,900,983,983
